iter	Passed	Remaining
914	26054	2420
915	26086	2392
916	26114	2363
917	26142	2335
918	26190	2308
919	26223	2280
920	26249	2251
921	26280	2223
922	26312	2195
923	26340	2166
924	26368	2138
925	26397	2109
926	26424	2080
927	26450	2052
928	26480	2023
929	26506	1995
930	26532	1966
931	26560	1937
932	26591	1909
933	26623	1881
934	26654	1853
935	26680	1824
936	26707	1795
937	26737	1767
938	26774	1739
939	26810	1711
940	26849	1683
941	26879	1654
942	26913	1626
943	26965	1599
944	26995	1571
945	27022	1542
946	27052	1513
947	27080	1485
948	27105	1456
949	27134	1428
950	27166	1399
951	27198	1371
952	27226	1342
953	27252	1314
954	27279	1285
955	27306	1256
956	27335	1228
957	27364	1199
958	27390	1171
959	27416	1142
960	27442	1113
961	27471	1085
962	27500	1056
963	27526	1027
964	27553	999
965	27581	970
966	27609	942
967	27637	913
968	27669	885
969	27695	856
970	27724	828
971	27752	799
972	27779	770
973	27807	742
974	27839	713
975	27868	685
976	27902	656
977	27933	628
978	27968	599
979	27995	571
980	28022	542
981	28060	514
982	28089	485
983	28117	457
984	28149	428
985	28177	400
986	28204	371
987	28231	342
988	28258	314
989	28285	285
990	28314	257
991	28344	228
992	28377	200
993	28405	171
994	28432	142
995	28460	114
996	28488	85
997	28519	57
998	28545	28
999	28587	0
