iter	Passed	Remaining
827	62106	7200
828	62177	7125
829	62249	7049
830	62323	6974
831	62395	6899
832	62466	6824
833	62539	6748
834	62612	6673
835	62684	6598
836	62757	6523
837	62831	6448
838	62903	6372
839	62979	6297
840	63056	6223
841	63136	6148
842	63215	6074
843	63292	5999
844	63383	5925
845	63460	5850
846	63537	5776
847	63616	5701
848	63699	5627
849	63777	5552
850	63855	5477
851	63930	5402
852	64007	5327
853	64084	5252
854	64161	5177
855	64235	5102
856	64312	5027
857	64387	4952
858	64466	4878
859	64542	4803
860	64620	4728
861	64695	4653
862	64772	4578
863	64853	4503
864	64928	4428
865	65005	4353
866	65086	4279
867	65166	4204
868	65242	4129
869	65319	4054
870	65409	3980
871	65487	3905
872	65566	3830
873	65646	3755
874	65721	3680
875	65799	3605
876	65875	3530
877	65951	3455
878	66027	3380
879	66098	3304
880	66172	3229
881	66247	3154
882	66317	3079
883	66389	3004
884	66470	2929
885	66541	2853
886	66611	2778
887	66684	2703
888	66754	2628
889	66827	2552
890	66909	2478
891	66998	2403
892	67077	2328
893	67168	2253
894	67284	2180
895	67380	2105
896	67488	2031
897	67593	1957
898	67709	1882
899	67792	1807
900	67875	1732
901	67959	1657
902	68044	1582
903	68132	1507
904	68213	1432
905	68304	1357
906	68387	1281
907	68474	1206
908	68551	1131
909	68630	1055
910	68717	980
911	68802	905
912	68881	829
913	68967	754
914	69043	679
915	69123	603
916	69200	528
917	69276	452
918	69356	377
919	69440	301
920	69514	226
921	69594	150
922	69682	75
923	69773	0
